Bench mbasis
nbits=30, prime=781683761
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
NEW	32	1	8	8	0.000470

I	1	32	8	8	0.000070
II	1	32	8	8	0.000056
III	1	32	8	8	0.000039
IV	1	32	8	8	0.000044
V	1	32	8	8	0.000056
NEW	1	32	8	8	0.000005

I	32	16	8	8	0.005183
II	32	16	8	8	0.004508
III	32	16	8	8	0.002994
IV	32	16	8	8	0.002528
V	32	16	8	8	0.003976
NEW	32	16	8	8	0.002290

I	16	32	8	8	0.001012
II	16	32	8	8	0.001194
III	16	32	8	8	0.000505
IV	16	32	8	8	0.000561
V	16	32	8	8	0.001181
NEW	16	32	8	8	0.000060

I	32	31	8	8	0.004348
II	32	31	8	8	0.005461
III	32	31	8	8	0.002069
IV	32	31	8	8	0.002090
V	32	31	8	8	0.005342
NEW	32	31	8	8	0.005041

I	31	32	8	8	0.002380
II	31	32	8	8	0.004859
III	31	32	8	8	0.001440
IV	31	32	8	8	0.001634
V	31	32	8	8	0.004955
NEW	31	32	8	8	0.000187

I	32	1	16	16	0.001845
II	32	1	16	16	0.002293
III	32	1	16	16	0.001895
IV	32	1	16	16	0.004635
V	32	1	16	16	0.004949
NEW	32	1	16	16	0.000951

I	1	32	16	16	0.000172
II	1	32	16	16	0.000171
III	1	32	16	16	0.000104
IV	1	32	16	16	0.000127
V	1	32	16	16	0.000173
NEW	1	32	16	16	0.000008

I	32	16	16	16	0.014943
II	32	16	16	16	0.013955
III	32	16	16	16	0.008269
IV	32	16	16	16	0.008384
V	32	16	16	16	0.016889
NEW	32	16	16	16	0.009538

I	16	32	16	16	0.003067
II	16	32	16	16	0.004377
III	16	32	16	16	0.001326
IV	16	32	16	16	0.001523
V	16	32	16	16	0.004086
NEW	16	32	16	16	0.000085

I	32	31	16	16	0.012045
II	32	31	16	16	0.018389
III	32	31	16	16	0.005139
IV	32	31	16	16	0.005398
V	32	31	16	16	0.018126
NEW	32	31	16	16	0.016645

I	31	32	16	16	0.005744
II	31	32	16	16	0.017808
III	31	32	16	16	0.003811
IV	31	32	16	16	0.004177
V	31	32	16	16	0.017830
NEW	31	32	16	16	0.000282

I	32	1	32	32	0.004537
II	32	1	32	32	0.006775
III	32	1	32	32	0.004631
IV	32	1	32	32	0.016196
V	32	1	32	32	0.017900
NEW	32	1	32	32	0.001951

I	1	32	32	32	0.000424
II	1	32	32	32	0.000576
III	1	32	32	32	0.000277
IV	1	32	32	32	0.000363
V	1	32	32	32	0.000601
NEW	1	32	32	32	0.000013

I	32	16	32	32	0.042160
II	32	16	32	32	0.047276
III	32	16	32	32	0.021996
IV	32	16	32	32	0.026669
V	32	16	32	32	0.050026
NEW	32	16	32	32	0.025830

I	16	32	32	32	0.006535
II	16	32	32	32	0.014385
III	16	32	32	32	0.003912
IV	16	32	32	32	0.004344
V	16	32	32	32	0.015876
NEW	16	32	32	32	0.000121

I	32	31	32	32	0.035152
II	32	31	32	32	0.062660
III	32	31	32	32	0.012557
IV	32	31	32	32	0.015408
V	32	31	32	32	0.064857
NEW	32	31	32	32	0.061076

I	31	32	32	32	0.014978
II	31	32	32	32	0.058277
III	31	32	32	32	0.008087
IV	31	32	32	32	0.010808
V	31	32	32	32	0.060066
